n,k,seed,method,solved,time_s,plan_len,expanded,generated,bf_min,bf_max,bf_avg,max_frontier,max_closed,max_memory
3,10,15,astar_manhattan,True,0.000455,4,4,10,2,4,3.000000,6,4,10
3,10,15,fast_downward_lmcut,True,0.011546,4,5,12,,,,,,
3,10,16,astar_manhattan,True,0.000326,4,4,10,2,4,3.000000,6,4,10
3,10,16,fast_downward_lmcut,True,0.009149,4,5,12,,,,,,
3,10,17,astar_manhattan,True,0.000397,4,4,8,2,3,2.500000,4,4,8
3,10,17,fast_downward_lmcut,True,0.010856,4,5,10,,,,,,
3,10,18,astar_manhattan,True,0.000483,4,4,10,2,4,3.000000,6,4,10
3,10,18,fast_downward_lmcut,True,0.009391,4,5,12,,,,,,
3,10,19,astar_manhattan,True,0.000359,6,7,15,2,4,2.857143,8,7,15
3,10,19,fast_downward_lmcut,True,0.009205,6,7,17,,,,,,
3,15,0,astar_manhattan,True,0.000383,5,5,12,2,4,3.000000,7,5,12
3,15,0,fast_downward_lmcut,True,0.010295,5,6,15,,,,,,
3,15,1,astar_manhattan,True,0.001604,13,21,40,2,4,2.809524,19,21,40
3,15,1,fast_downward_lmcut,True,0.011974,13,17,47,,,,,,
3,15,2,astar_manhattan,True,0.000562,7,9,19,2,4,2.888889,10,9,19
3,15,2,fast_downward_lmcut,True,0.011209,7,8,20,,,,,,
3,15,3,astar_manhattan,True,0.001003,7,12,26,2,4,3.083333,14,12,26
3,15,3,fast_downward_lmcut,True,0.033278,7,8,22,,,,,,
3,15,4,astar_manhattan,True,0.000356,5,5,12,2,4,3.000000,7,5,12
3,15,4,fast_downward_lmcut,True,0.009577,5,6,15,,,,,,
3,15,5,astar_manhattan,True,0.000131,1,1,4,3,3,3.000000,3,1,4
3,15,5,fast_downward_lmcut,True,0.009543,1,2,3,,,,,,
3,15,6,astar_manhattan,True,0.000330,7,8,18,2,4,3.000000,10,8,18
3,15,6,fast_downward_lmcut,True,0.009716,7,8,22,,,,,,
3,15,7,astar_manhattan,True,0.000486,7,9,20,2,4,3.000000,11,9,20
3,15,7,fast_downward_lmcut,True,0.009369,7,8,22,,,,,,
3,15,8,astar_manhattan,True,0.000148,1,1,4,3,3,3.000000,3,1,4
3,15,8,fast_downward_lmcut,True,0.007309,1,2,3,,,,,,
3,15,9,astar_manhattan,True,0.000145,1,1,4,3,3,3.000000,3,1,4
3,15,9,fast_downward_lmcut,True,0.006762,1,2,3,,,,,,
3,15,10,astar_manhattan,True,0.000235,5,5,10,2,3,2.600000,5,5,10
3,15,10,fast_downward_lmcut,True,0.007391,5,6,13,,,,,,
3,15,11,astar_manhattan,True,0.000283,3,3,7,2,3,2.666667,4,3,7
3,15,11,fast_downward_lmcut,True,0.009900,3,4,8,,,,,,
3,15,12,astar_manhattan,True,0.000141,3,3,9,3,4,3.333333,6,3,9
3,15,12,fast_downward_lmcut,True,0.009465,3,4,10,,,,,,
3,15,13,astar_manhattan,True,0.000528,9,18,33,2,4,2.722222,15,18,33
3,15,13,fast_downward_lmcut,True,0.008516,9,12,32,,,,,,
